,eudract_number,final_date,inferred
4390,2010-023002-13,2012-07-06,0
22112,2005-003293-25,2009-10-31,1
23693,2006-005953-31,2007-08-24,0
18058,2009-014765-74,2009-10-20,0
519,2008-004126-16,2010-05-26,0
9424,2009-016090-14,2012-12-14,1
17687,2007-002920-14,2009-05-28,0
17184,2007-000532-47,2011-08-05,0
8672,2004-000363-10,2007-07-19,0
13690,2007-003080-45,2012-09-19,0
13901,2009-013856-61,2017-06-30,0
27105,2013-003323-11,2017-03-28,1
402,2013-003183-31,2016-02-08,0
26917,2006-001559-37,2007-12-31,0
25061,2007-001678-10,2009-09-12,1
7917,2015-002724-16,2018-10-12,1
6882,2010-019968-37,2013-04-22,0
1061,2008-000083-17,2010-01-13,1
8457,2007-004350-82,2012-03-23,0
19616,2015-002963-40,2017-07-22,1
2873,2011-001007-12,2012-01-13,0
15206,2016-001575-71,2018-01-29,0
